track_id,genre_id
1Qo3taHLFSQpzLm5Sty7M4,1
71M4QMn8nrok1KFVXwEEyU,1
4lxGVzcUaSF5HW5jtWnShV,1
2PIlBukQ6limukVR8Ubb5o,1
5p9XWUdvbUzmPCukOmwoU3,1
1uSuY2qLCbx1QB7oPUVhFG,1
6twvFrIoIINH8UW8EB8OnU,1
2pelUnMKr07JjJpilj9Yew,1
7d0bJhpp0mCYyMXaMgWyMS,1
73CbJykoV6WapWGfTeRzTl,1
3ixLIO5BsTmic0Pp27FaPY,1
5ZetMq21bMQN5oo4TtdOxu,1
73oHkllHIT8fdbzpxiXW40,1
4MihgVRpD82EZoT61GW63w,1
1BECZPXBXzobsfmlzj0g3I,1
14vExHBkh1prEAN94wZug8,1
0fzCtVM9D5UEwiLqcY8Ouq,1
6IF2P93LkyW4GqDQu1yS7H,1
34dnNAUoIPcwnK0RtVMBWZ,1
5aDpULK8MbJmHl42kR5KNI,1
1fI1TMpz7FVkpoYBhmiywp,1
23Mcmg5O8rBKAOzxvrTjnD,1
0gVbkmFqq5fIkXtJJ3UTfM,1
00DuOxungwHwVUX2m37P0P,1
2lFlveK1y13WWp3vnQtrr3,1
2WD93lsfJonaKtrQtpLB2R,1
7njTGO45SkaBTNu35t2Yq0,1
6ivkBaxvclVhwZDE2uwldj,1
6Cvti10W0AzmzG9D1tpuKp,1
03yc0G2OoH1Eeyu7Piy8fK,1
5RO0MNa5hBKIM4OcjygadU,1
78TKtlSLWK8pZAKKW3MyQL,1
1esE8j1nVyzEQ5rVhYXoJT,1
68Yc9ylRZZPtsuVgtrxcDj,1
3tjjCCdXSdaVEo4q4y071G,1
3tob5ofeuvFKKSbOTldenC,1
4E6cwWJWZw2zWf7VFbH7wf,1
3uAdZpIbMTtVXitHVibLMV,1
2LC523tbEPFpc1pnikbt5b,1
3ISLwA96mtx13Wx7K1PPPk,1
7Ca2CkwSqHyr3eCh8IRdjz,1
6ql0ffq6Jvyh9OKqrJCMaP,1
1EyvonxK8OGHRV4WDRdArc,1
0EKBV6GybPtALXUgWqWrym,1
41A82PidFKhGX5hm1WoaDs,1
5oV8bZaShr2d01FFMHBUPq,1
5nMRpGfqQ0tb1TMbqBVK2J,1
04qDUASuSfVp6fktfsxVej,1
3g61xRaqII8q1wlQDzv550,1
3dglCYsVMjPbDlU2CC9Vq7,1
2f4jlGvGi3ZDGogXys5FUp,1
3NCg46FWgnANZc9HQHQOQR,1
0muntSMuAZzcwYBBMZj6sf,1
4bXoVtbp6fN8FaSQvGQB41,1
3FRARAKLpHw3er9ZaTwaHO,1
2Dzhwe90lhHXVU6lk7Nx0H,1
12niARgkwxGsklcEwh6GlG,1
0v0pc1lIt5p6EBX7pnfOGF,1
5wQci5VCUjdbKnRD61XYwu,1
0HQnJee8ShSDu2AYwibxst,1
4VoJCUgNmnqG2qF0peDBkw,1
7xLhousIHDxoGgeJNhO4Ye,1
1bhpBRCLsVg3p7BWARbaDS,1
6NSlOEEtWlqvEFrjQsry77,1
1HqVCK9h4LiJ61aRrrKTAt,1
0wP19iM8ULJyV0r0LFDsDv,1
27Fq4XyOkogdGLcfsVdjFb,1
45jGOHwYKgsRYbAJ8DR61d,1
4iObEYRE4FLm0D90gmZFef,1
3akr0ZrJxLMBLIFeNNKffW,1
7BRwh1bemr9rFMDeTbcy5S,1
3rzRo91l4htQvMXhsiECAX,1
0v1vufjir4OE4iRckLMoLd,1
4vAnqYqm1DOo5IDVcxORX3,1
2X5AFygz5SDYlXagyPw8kX,1
13GvSZgg9LOs3M9uGbWsPE,1
4cR4nao0hqqBtklQmGVqbe,1
4x7AdVDV9IFWp8pg4LMz90,1
5eNYumDY5PCXtKKJ0SWg2r,1
6dwkFmLUz6hx2CZG2EqLol,1
7aohwSiTDju51QmC54AUba,1
7g3ryXLtXExZ0OFCj17Ae1,1
5MrgVJzR1du1gz8XWe4m28,1
5auMzVHFr5Zfw6IbKarZ56,1
63bmIgH9sS6sX5Sc7MetGq,1
3ZjSJv88euP3CdvTg07dZL,1
14BMBNRzv24eG6OKoIgPfP,1
5pEmeoMUW38w1oU3kPelvR,1
2h3VsZVKQeT0yLNQtCIRjn,1
1dcNEEtODRVZEevQ20Cgmy,1
6huS9u0BDfeQHq0lObNLPl,1
14NiShC5b46yQxBN1mu9VJ,1
3DyhwZyBFedvnt68fMi6vf,1
6kRZfOZSuoi0Htg6gROKDz,1
5e9DrLUUZraUE7mmniufjn,1
2z3HKlpENvfz1Am2MNF2pL,1
33JX2be3eKVhl5xk8YQhVc,1
29Ns3avs48iQhNQgrHMEkm,1
2XDxQ3VzovLzh60zgOaNEi,1
